variant,trial,sweep,energy
ideal,2,110,-2.0
ideal,2,111,-2.0
ideal,2,112,-2.0
ideal,2,113,-2.0
ideal,2,114,-2.0
ideal,2,115,-2.0
ideal,2,116,-1.0
ideal,2,117,-1.0
ideal,2,118,-2.0
ideal,2,119,-2.0
ideal,2,120,-2.0
ideal,2,121,-2.0
ideal,2,122,-2.0
ideal,2,123,-2.0
ideal,2,124,-2.0
ideal,2,125,-2.0
ideal,2,126,-2.0
ideal,2,127,-1.0
ideal,2,128,-2.0
ideal,2,129,-2.0
ideal,2,130,-2.0
ideal,2,131,-1.0
ideal,2,132,-2.0
ideal,2,133,-2.0
ideal,2,134,-2.0
ideal,2,135,-2.0
ideal,2,136,-2.0
ideal,2,137,-2.0
ideal,2,138,-2.0
ideal,2,139,-2.0
ideal,2,140,-2.0
ideal,2,141,-2.0
ideal,2,142,-2.0
ideal,2,143,-2.0
ideal,2,144,-2.0
ideal,2,145,-2.0
ideal,2,146,-2.0
ideal,2,147,-2.0
ideal,2,148,-2.0
ideal,2,149,-2.0
ideal,2,150,-2.0
ideal,2,151,-2.0
ideal,2,152,-2.0
ideal,2,153,-2.0
ideal,2,154,-2.0
ideal,2,155,-2.0
ideal,2,156,-2.0
ideal,2,157,-2.0
ideal,2,158,-2.0
ideal,2,159,-2.0
ideal,2,160,-2.0
ideal,2,161,-2.0
ideal,2,162,-2.0
ideal,2,163,-2.0
ideal,2,164,-2.0
ideal,2,165,-2.0
ideal,2,166,-2.0
ideal,2,167,-2.0
ideal,2,168,-2.0
ideal,2,169,-2.0
ideal,2,170,-2.0
ideal,2,171,-2.0
ideal,2,172,-2.0
ideal,2,173,-2.0
ideal,2,174,-2.0
ideal,2,175,-2.0
ideal,2,176,-2.0
ideal,2,177,-2.0
ideal,2,178,-2.0
ideal,2,179,-2.0
ideal,2,180,-2.0
ideal,2,181,-2.0
ideal,2,182,-2.0
ideal,2,183,-2.0
ideal,2,184,-2.0
ideal,2,185,-2.0
ideal,2,186,-2.0
ideal,2,187,-2.0
ideal,2,188,-2.0
ideal,2,189,-2.0
ideal,2,190,-2.0
ideal,2,191,-2.0
ideal,2,192,-2.0
ideal,2,193,-2.0
ideal,2,194,-2.0
ideal,2,195,-2.0
ideal,2,196,-2.0
ideal,2,197,-2.0
ideal,2,198,-2.0
ideal,2,199,-2.0
ideal,2,200,-2.0
ideal,3,0,1.0
ideal,3,1,0.0
ideal,3,2,1.0
ideal,3,3,-1.0
ideal,3,4,1.0
ideal,3,5,-1.0
ideal,3,6,0.0
ideal,3,7,-1.0
ideal,3,8,-2.0
ideal,3,9,-1.0
ideal,3,10,-1.0
ideal,3,11,0.0
ideal,3,12,1.0
ideal,3,13,1.0
ideal,3,14,0.0
ideal,3,15,-1.0
ideal,3,16,1.0
ideal,3,17,3.0
ideal,3,18,-1.0
ideal,3,19,0.0
ideal,3,20,1.0
ideal,3,21,0.0
ideal,3,22,0.0
ideal,3,23,-1.0
ideal,3,24,0.0
ideal,3,25,0.0
ideal,3,26,0.0
ideal,3,27,0.0
ideal,3,28,-1.0
ideal,3,29,-2.0
ideal,3,30,1.0
ideal,3,31,1.0
ideal,3,32,-2.0
ideal,3,33,-2.0
ideal,3,34,0.0
