block,instance,n_spins,target_kind,target,scenario,n_profile,mapping,profile_label,max_comp_code,dac_mode,dac_bits,dac_span_uT,max_abs_u_offset,mean_abs_u_offset,n_trials,n_sweeps,master_seed,hits,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts99_ratio,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,dmedian_vs_baseline,dmed_lo,dmed_hi,residual_median,mean_magnetization,wall_s,predist_bits,predist_span_uT,predist_lsb_mV,predist_lsb_src,predist_code_budget
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,0.06546624559232891,0.03310287945624798,200,2000,2024,93,0.465,0.3972,0.5341,14725.034752048668,1.030165995596198,0.7710671615593011,1.3739600060993082,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.1249,0.001713865209226008,0.000625,15.3,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,no_offset,,-,-,,fixed_u,6,10.0,0.0,0.0,1000,2000,2024,477,0.477,0.4462,0.508,14209.676725605681,1.0,nan,nan,nan,-72.88284231924007,-72.75793095143962,0.0,0.0,0.0,0.001713865209226008,9.375e-05,65.9,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,1.5151855494766184,0.7796317724682355,1000,2000,2024,504,0.504,0.4731,0.5349,13135.498560142436,0.9244051651416118,0.8131936435615063,1.0474286493181117,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.1249,0.0,-0.0005,63.2,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,0.064850360478284,0.033427453952495204,1000,2000,2024,475,0.475,0.4442,0.506,14293.846637334118,1.0059234219999365,0.8834063784645569,1.1467796585525143,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.1249,0.001713865209226008,-0.00025,64.7,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,2.914928390421685,1.5068907350164116,1000,2000,2024,644,0.644,0.6138,0.6731,8917.62341304841,0.6275739825226954,0.5530555837088293,0.7065184642518384,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.0,0.0,0.0015625,64.2,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,0.064850360478284,0.032148966041572996,1000,2000,2024,484,0.484,0.4531,0.515,13920.291792461177,0.9796346575131414,0.8602813613173258,1.1142231696784266,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.1249,0.001713865209226008,-0.002625,62.9,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,5.4171235574208305,2.8551569242646027,1000,2000,2024,322,0.322,0.2938,0.3516,23700.85171765516,1.6679374327317726,1.4484052718229605,1.9244527227139012,0.0,-72.88284231924007,-55.36715591914448,17.39077503229514,12.3161,18.8192,0.24032660970292166,-0.1173125,59.5,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,0.06546624559232891,0.03310287945624798,1000,2000,2024,468,0.468,0.4373,0.499,14593.833490613086,1.027034870139949,0.9010187718765601,1.1678824394228404,0.0,-72.88284231924007,-72.75793095143962,0.0,0.0,0.1249,0.001713865209226008,-0.00046875,66.4,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,no_offset,,-,-,,fixed_u,6,10.0,0.0,0.0,200,2000,2024,21,0.105,0.0697,0.1552,83027.23150429458,1.0,nan,nan,nan,-56.84259775567446,-56.32120501754126,0.0,0.0,0.0,0.009172570549542696,-0.00546875,15.4,,,,,
combined_6b_span10,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,1.5151855494766184,0.7796317724682355,200,2000,2024,21,0.105,0.0697,0.1552,83027.23150429458,1.0,0.5257527740966531,1.8787573427599016,0.0,-56.84259775567446,-53.37708422825969,2.9441207892815697,1.3034,3.1318,0.0609668393818053,-0.1375,14.9,,,,,
