idx,s0,s1,s2,s3,s_final,mz0,mz1,mz2,mz3,mz_final
78,AP,P,AP,P,P,-0.9977,0.733,-0.9104,0.5944,0.4988
79,AP,P,AP,P,P,-0.9997,0.6589,-0.4042,0.6429,0.6902
80,AP,P,AP,AP,AP,-0.989,0.3878,-0.3616,-0.303,-0.206
81,AP,P,P,P,P,-0.9957,0.8074,0.8226,0.7906,0.4682
82,AP,AP,X,AP,P,-0.9912,-0.5568,-0.1822,-0.3627,0.7624
83,AP,X,P,P,X,-0.9919,-0.1729,0.9782,0.9576,-0.0135
84,AP,P,AP,P,X,-0.9902,0.4957,-0.2726,0.794,0.167
85,AP,AP,AP,P,P,-0.9986,-0.9886,-0.9849,0.8197,0.5938
86,AP,P,P,P,P,-0.9841,0.7328,0.429,0.4456,0.9906
87,AP,X,P,P,AP,-0.9884,0.1979,0.5446,0.434,-0.3779
88,AP,P,P,P,P,-0.9984,0.4943,0.7326,0.7961,0.999
89,AP,AP,P,P,AP,-0.9957,-0.2811,0.6587,0.8039,-0.5706
90,AP,P,X,P,AP,-0.9864,0.5882,-0.1011,0.7838,-0.8961
91,AP,P,AP,X,X,-0.9979,0.7534,-0.3537,-0.0691,0.1114
92,AP,AP,AP,X,P,-0.993,-0.3682,-0.3678,-0.1927,0.2248
93,AP,P,P,P,P,-0.9887,0.5624,0.3733,0.3775,0.728
94,AP,AP,P,AP,P,-0.985,-0.3236,0.7141,-0.6362,0.6762
95,AP,AP,AP,P,P,-0.9988,-0.7615,-0.4648,0.293,0.6599
96,AP,X,P,P,P,-0.9951,-0.0434,0.3977,0.7357,0.2887
97,AP,AP,P,AP,P,-0.9955,-0.2291,0.7262,-0.8741,0.5154
98,AP,P,P,AP,X,-0.9819,0.6639,0.7232,-0.6522,0.0337
99,AP,AP,P,P,P,-0.9976,-0.3485,0.5323,0.7059,0.6193
100,AP,X,P,P,X,-0.9975,-0.189,0.4395,0.7109,0.0206
101,AP,AP,P,P,P,-0.9987,-0.8423,0.4261,0.4674,0.6503
102,AP,AP,P,P,P,-0.9901,-0.3797,0.6983,0.5487,0.761
103,AP,AP,P,X,P,-0.9954,-0.264,0.4214,-0.0011,0.4461
104,AP,X,X,P,P,-0.9982,0.0981,-0.0468,0.7606,0.6773
105,AP,P,P,P,P,-0.9912,0.3681,0.7839,0.434,0.6219
106,AP,AP,P,P,X,-0.9988,-0.3699,0.4028,0.8082,-0.1636
107,AP,P,P,AP,P,-0.9962,0.6292,0.5197,-0.3237,0.625
108,AP,AP,AP,AP,X,-0.9777,-0.6952,-0.3368,-0.3107,0.0767
109,AP,AP,X,P,P,-0.9993,-0.2631,-0.0212,0.7497,0.9938
110,AP,P,AP,AP,X,-0.9988,0.4538,-0.3271,-0.2013,-0.0602
111,AP,AP,P,P,P,-0.9991,-0.9906,0.8665,0.9963,0.3434
112,AP,AP,P,AP,X,-0.9984,-0.4395,0.212,-0.3604,-0.1
113,AP,P,X,AP,X,-0.9993,0.4399,-0.04,-0.2315,-0.0223
114,AP,P,P,P,AP,-0.9887,0.5839,0.4797,0.691,-0.2765
115,AP,AP,X,P,P,-0.9992,-0.8818,0.0095,0.4879,0.9664
116,AP,X,X,P,AP,-0.9868,-0.1173,-0.0356,0.6135,-0.2905
117,AP,P,P,P,P,-0.9743,0.5064,0.9019,0.7483,0.7698
118,AP,X,P,P,P,-0.9947,-0.0998,0.8336,0.9457,0.8142
119,AP,P,P,P,AP,-0.9972,0.8586,0.5473,0.7817,-0.301
120,AP,X,P,P,X,-0.9947,-0.0098,0.6812,0.8049,-0.1156
121,AP,P,P,P,X,-0.9944,0.9346,0.981,0.9983,-0.0498
122,AP,AP,P,AP,P,-0.9974,-0.5225,0.7459,-0.8562,0.5706
123,AP,AP,P,P,AP,-0.9904,-0.5668,0.7169,0.5826,-0.3655
124,AP,P,P,P,X,-0.995,0.5209,0.6821,0.7031,0.0777
125,AP,X,P,P,AP,-0.991,0.1274,0.6439,0.8811,-0.2876
126,AP,P,AP,P,P,-0.9941,0.8215,-0.3831,0.5911,0.4937
127,AP,P,P,P,P,-0.9765,0.6549,0.66,0.648,0.2164
128,AP,P,X,AP,AP,-0.9933,0.3975,-0.0879,-0.2027,-0.2729
129,AP,AP,P,X,P,-0.9914,-0.4999,0.3174,-0.0702,0.2464
130,AP,P,P,P,X,-0.9858,0.2191,0.8414,0.8245,0.0915
131,AP,AP,P,P,X,-0.9989,-0.6278,0.4921,0.4001,0.0428
132,AP,AP,P,X,P,-0.9939,-0.9805,0.6468,-0.1928,0.9702
133,AP,P,P,P,P,-0.9914,0.7985,0.5503,0.5379,0.9777
134,AP,P,P,P,P,-0.9889,0.4547,0.4889,0.4513,0.537
135,AP,P,P,P,P,-0.9939,0.2141,0.552,0.4084,0.2894
136,AP,P,P,X,X,-0.9955,0.6577,0.579,0.1402,0.0606
137,AP,X,AP,P,AP,-0.9995,-0.0773,-0.2504,0.3906,-0.2498
138,AP,AP,P,P,P,-0.994,-0.7741,0.8357,0.8135,0.5704
