block,instance,n,n_sweeps,p_s,deg_mean,coupling,b_accum,e_accum_fJ,e_accum_provenance,synapse_on,synapse_pJ_per_update,k,n_par,share,rail_vt,platform,e_update_pJ,tts_s,energy_J,energy_ratio_vs_cmos,tts_ratio_vs_cmos
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),1,5.8864,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0004370869065356568,0.0034966952522852545,91.85732309515345,0.2
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),1,5.8864,3,64,1.0,4.0,cpu-numba,3959460.399957606,0.494465227933687,13.845026382143235,363705.4332413713,226.25487999757752
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.001346717024410645,1.2653753161362421e-05,0.1566,0.14999999999999997
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.025165652129486925,0.00023715686799871463,2.9350000000000005,2.803
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.008978113496070968,8.08030214646387e-05,1.0,1.0
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0017956226992141937,0.016160604292927743,200.00000000000003,0.2
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.285259740615439,63.98727273723228,791892.0799915212,254.5367399972747
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,1,7.9583,3,64,1.0,4.0,sMTJ-array,8.741322,0.001346717024410645,0.00014126504583906373,0.6745720626482349,0.14999999999999997
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,1,7.9583,3,64,1.0,4.0,sMTJ-array-e2e,22.633322000000003,0.025165652129486925,0.0003657681606764159,1.7466244472085195,2.803
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,1,7.9583,3,64,1.0,4.0,cmos-pbit,12.958322,0.008978113496070968,0.00020941431414234001,1.0,1.0
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,1,7.9583,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0017956226992141937,0.016160604292927743,77.17048549958861,0.2
caliber,factor_M51,9,20000,0.05,8.0,rand_core,12,994.79,MEASURED,1,7.9583,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.285259740615439,63.98727273723228,305553.4813811237,254.5367399972747
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.001346717024410645,1.546569830833185e-05,0.15660000000000002,0.14999999999999997
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.025165652129486925,0.00028985839422065123,2.9350000000000005,2.803
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.008978113496070968,9.875924845678064e-05,1.0,1.0
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0017956226992141937,0.01975184969135613,200.00000000000003,0.2
