scope,n,er_seed,axis,value,n_seeds,n_trials,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,ratio_geomean,ratio_min,ratio_max,target,source
per_seed,20,2,span,2.0,1,200,1,0.005,0.0009,0.0278,1837459.1,302.0678501908563,79.66446710032882,353.50464979840405,,,,-20.08691183227218,this-run
per_seed,20,2,span,3.0,1,200,26,0.13,0.0903,0.1837,66136.7,10.872506502461375,7.401616614001309,17.568686536458284,,,,-20.08691183227218,this-run
per_seed,20,2,span,4.0,1,200,74,0.37,0.3061,0.4388,19934.3,3.2770812308472723,2.4814108283147482,4.460050030319494,,,,-20.08691183227218,this-run
per_seed,20,2,span,6.0,1,200,142,0.71,0.6436,0.7685,7440.4,1.2231675414300267,0.9577507683419354,1.5721431144508622,,,,-20.08691183227218,this-run
per_seed,20,2,span,8.0,1,200,150,0.75,0.6857,0.8049,6643.9,1.092212285568714,0.8570546520119365,1.3958158086625851,,,,-20.08691183227218,this-run
per_seed,20,2,k,1,1,200,163,0.815,0.7554,0.8627,5458.3,0.8973143431609091,0.7064928119620641,1.142083563065304,,,,-20.08691183227218,this-run
per_seed,20,2,k,2,1,200,160,0.8,0.7391,0.8495,5722.7,0.9407804556684151,0.7370508525653204,1.201582773061793,,,,-20.08691183227218,this-run
per_seed,20,2,k,3,1,200,163,0.815,0.7554,0.8627,5458.3,0.8973143431609091,0.7064928119620641,1.142083563065304,,,,-20.08691183227218,this-run
per_seed,20,2,k,4,1,200,163,0.815,0.7554,0.8627,5458.3,0.8973143431609091,0.7064928119620641,1.142083563065304,,,,-20.08691183227218,this-run
per_seed,20,2,k,5,1,200,163,0.815,0.7554,0.8627,5458.3,0.8973143431609091,0.7064928119620641,1.142083563065304,,,,-20.08691183227218,this-run
per_seed,20,2,bits,6,1,200,74,0.37,0.3061,0.4388,19934.3,3.2770812308472723,2.4814108283147482,4.460050030319494,,,,-20.08691183227218,dedup(span@4)
per_seed,20,3,baseline,0,1,200,51,0.255,0.1996,0.3196,31288.2,1.0,nan,nan,,,,-11.955070534610577,this-run
per_seed,20,3,bits,2,1,200,14,0.07,0.0422,0.1141,126915.4,4.0563352657048535,2.361384450509088,8.26254225218333,,,,-11.955070534610577,this-run
per_seed,20,3,bits,3,1,200,19,0.095,0.0617,0.1436,92269.2,2.9490089346057093,1.7946109951617297,5.350345478460227,,,,-11.955070534610577,this-run
per_seed,20,3,bits,4,1,200,18,0.09,0.0577,0.1378,97659.6,3.1212908469431797,1.892111818407773,5.764405927172462,,,,-11.955070534610577,this-run
per_seed,20,3,bits,5,1,200,15,0.075,0.046,0.12,118139.5,3.7758496696341117,2.2354518313662326,7.43833651277055,,,,-11.955070534610577,this-run
per_seed,20,3,bits,8,1,200,16,0.08,0.0498,0.126,110460.1,3.5304075364838807,2.0975179370707675,6.725071845602506,,,,-11.955070534610577,this-run
per_seed,20,3,span,2.0,1,200,1,0.005,0.0009,0.0278,1837459.1,58.726903627994645,15.17921543516689,74.02704943985071,,,,-11.955070534610577,this-run
per_seed,20,3,span,3.0,1,200,7,0.035,0.0171,0.0705,258520.1,8.26254225218333,4.228876389273623,25.639530096850155,,,,-11.955070534610577,this-run
per_seed,20,3,span,4.0,1,200,15,0.075,0.046,0.12,118139.5,3.7758496696341117,2.2354518313662326,7.43833651277055,,,,-11.955070534610577,this-run
per_seed,20,3,span,6.0,1,200,29,0.145,0.1029,0.2005,58794.2,1.879118423722405,1.200480334645201,3.038602374619086,,,,-11.955070534610577,this-run
per_seed,20,3,span,8.0,1,200,39,0.195,0.1461,0.2554,42461.0,1.3570927444674272,0.8960164364160057,2.107387182558725,,,,-11.955070534610577,this-run
per_seed,20,3,k,1,1,200,28,0.14,0.0987,0.1949,61067.3,1.951766480012472,1.244099728234449,3.1926934942265928,,,,-11.955070534610577,this-run
per_seed,20,3,k,2,1,200,44,0.22,0.1682,0.2824,37069.5,1.1847760208416247,0.7903705959819974,1.7954374955254335,,,,-11.955070534610577,this-run
per_seed,20,3,k,3,1,200,47,0.235,0.1816,0.2984,34382.4,1.098893796915207,0.7368693142578376,1.6553414616454807,,,,-11.955070534610577,this-run
per_seed,20,3,k,4,1,200,53,0.265,0.2087,0.3302,29914.9,0.9561078687395695,0.6465890610474898,1.4181536456151818,,,,-11.955070534610577,this-run
per_seed,20,3,k,5,1,200,50,0.25,0.1951,0.3143,32015.7,1.0232513207854403,0.6852547570594353,1.5145214530410371,,,,-11.955070534610577,this-run
per_seed,20,3,bits,6,1,200,15,0.075,0.046,0.12,118139.5,3.7758496696341117,2.2354518313662326,7.43833651277055,,,,-11.955070534610577,dedup(span@4)
per_seed,20,4,baseline,0,1,200,36,0.18,0.1329,0.2391,46411.2,1.0,nan,nan,,,,-13.606216893776928,this-run
per_seed,20,4,bits,2,1,200,13,0.065,0.0384,0.108,137040.8,2.9527545093310765,1.6281144421956029,6.248372753172459,,,,-13.606216893776928,this-run
per_seed,20,4,bits,3,1,200,11,0.055,0.031,0.0958,162812.1,3.508037929807656,1.895940003490239,8.07997145203928,,,,-13.606216893776928,this-run
per_seed,20,4,bits,4,1,200,14,0.07,0.0422,0.1141,126915.4,2.734587902798382,1.5377449602033804,5.619842122461079,,,,-13.606216893776928,this-run
per_seed,20,4,bits,5,1,200,12,0.06,0.0347,0.1019,148853.0,3.2072669719943483,1.7466720248118566,7.1214263100072674,,,,-13.606216893776928,this-run
per_seed,20,4,bits,8,1,200,14,0.07,0.0422,0.1141,126915.4,2.734587902798382,1.5377449602033804,5.619842122461079,,,,-13.606216893776928,this-run
per_seed,20,4,span,2.0,1,200,1,0.005,0.0009,0.0278,1837459.1,39.59087938013792,9.979257914617378,52.14216126970908,,,,-13.606216893776928,this-run
per_seed,20,4,span,3.0,1,200,14,0.07,0.0422,0.1141,126915.4,2.734587902798382,1.5377449602033804,5.619842122461079,,,,-13.606216893776928,this-run
per_seed,20,4,span,4.0,1,200,13,0.065,0.0384,0.108,137040.8,2.9527545093310765,1.6281144421956029,6.248372753172459,,,,-13.606216893776928,this-run
per_seed,20,4,span,6.0,1,200,27,0.135,0.0945,0.1893,63508.3,1.3683839494063603,0.8317921115569308,2.354814144248037,,,,-13.606216893776928,this-run
per_seed,20,4,span,8.0,1,200,32,0.16,0.1157,0.2171,52825.7,1.1382109746973288,0.7009626279106042,1.8529375340723384,,,,-13.606216893776928,this-run
per_seed,20,4,k,1,1,200,42,0.21,0.1593,0.2716,39072.8,0.8418843295817782,0.5351538019801271,1.3072187638307975,,,,-13.606216893776928,this-run
per_seed,20,4,k,2,1,200,48,0.24,0.1861,0.3037,33560.9,0.7231206080086691,0.46413118142264714,1.1159845627270126,,,,-13.606216893776928,this-run
per_seed,20,4,k,3,1,200,52,0.26,0.2041,0.3249,30588.5,0.6590753311045793,0.422858101746814,1.0232513207854403,,,,-13.606216893776928,this-run
